Quenton Nelson,IND,"$25,200,000",25200000
DeForest Buckner,IND,"$22,750,000",22750000
Braden Smith,IND,"$16,683,000",16683000
Ryan Kelly,IND,"$14,625,000",14625000
Jonathan Taylor,IND,"$10,876,000",10876000
Samson Ebukam,IND,"$7,735,000",7735000
Anthony Richardson,IND,"$7,725,916",7725916
Matt Gay,IND,"$5,920,000",5920000
Mo Alie-Cox,IND,"$5,920,000",5920000
E.J. Speed,IND,"$5,460,000",5460000
Kwity Paye,IND,"$4,341,533",4341533
Ashton Dulin,IND,"$3,680,000",3680000
Zaire Franklin,IND,"$3,360,000",3360000
Kylen Granson,IND,"$3,168,591",3168591
Will Fries,IND,"$3,013,344",3013344
Dayo Odeyingbo,IND,"$1,965,578",1965578
Julius Brents,IND,"$1,862,940",1862940
Alec Pierce,IND,"$1,800,366",1800366
Jelani Woods,IND,"$1,465,223",1465223
Bernhard Raimann,IND,"$1,445,989",1445989
Luke Rhodes,IND,"$1,430,000",1430000
Nick Cross,IND,"$1,381,537",1381537
Josh Downs,IND,"$1,254,649",1254649
Juwann Winfree,IND,"$1,125,000",1125000
Chris Lammons,IND,"$1,125,000",1125000
Blake Freeland,IND,"$1,118,972",1118972
Adetomiwa Adebawore,IND,"$1,114,228",1114228
Sam Ehlinger,IND,"$1,087,676",1087676
Eric Johnson,IND,"$1,065,185",1065185
Grant Stuard,IND,"$1,055,000",1055000
Tyrie Cleveland,IND,"$1,055,000",1055000
Rodney Thomas,IND,"$1,008,846",1008846
Daniel Scott,IND,"$991,959",991959
Wesley French,IND,"$988,334",988334
Will Mallory,IND,"$987,648",987648
Dallis Flowers,IND,"$986,668",986668
Eric Tomlinson,IND,"$985,000",985000
Darrell Baker Jr.,IND,"$985,000",985000
D.J. Montgomery,IND,"$985,000",985000
Trevor Denbow,IND,"$985,000",985000
Josh Sills,IND,"$985,000",985000
Arlington Hambright,IND,"$985,000",985000
Cameron McGrone,IND,"$985,000",985000
Evan Hull,IND,"$976,245",976245
Andrew Ogletree,IND,"$959,548",959548
Jaylon Jones,IND,"$943,370",943370
Isaiah Land,IND,"$915,000",915000
Ethan Fernea,IND,"$915,000",915000
Ameer Speed,IND,"$915,000",915000
Segun Olubi,IND,"$915,000",915000
Tyler Goodson,IND,"$915,000",915000
Lewis Kidd,IND,"$915,000",915000
Titus Leo,IND,"$828,333",828333
Jake Witt,IND,"$818,705",818705
Marcel Dabo,IND,"$795,000",795000
Jordan Murray,IND,"$795,000",795000
Zavier Scott,IND,"$795,000",795000
Liam Anderson,IND,"$795,000",795000
Austin Ajiake,IND,"$795,000",795000
Kendell Brooks,IND,"$795,000",795000
Michael Tutsie,IND,"$795,000",795000
Terrell Bynum,IND,"$795,000",795000
